Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/1/2019,18.450001,23.4,18.299999,23.290001,23.198668,3023700,0.069987073,
1/2/2019,23.360001,25.799999,22.41,24.92,24.822273,2760200,-0.070626003,
1/3/2019,25.08,25.309999,22.73,23.16,23.069176,3610000,0.083333333,
1/4/2019,23.309999,25.790001,23.309999,25.09,24.991608,2383200,0.02311678,
1/5/2019,25.389999,26.25,24.17,25.67,25.569334,3621200,0.101285547,
1/6/2019,25.68,28.540001,25.68,28.27,28.159136,4385500,0.043862752,
1/7/2019,28.76,29.870001,28.23,29.51,29.394274,4521200,0.035242257,
1/8/2019,30.18,31.799999,28.280001,30.549999,30.430195,7881400,-0.03862514,
1/9/2019,30.110001,32.459999,28.450001,29.370001,29.254824,5443400,-0.043581919,
1/10/2019,29.370001,29.969999,27.860001,28.09,27.979841,4874500,-0.003559986,
1/11/2019,28.24,28.559999,27.18,27.99,27.880234,3446500,0.100392962,
1/12/2019,28.16,31.299999,27.58,30.799999,30.679214,2958100,0.043831268,
1/1/2020,31.35,33.970001,30.93,32.150002,32.11919,5454300,0.134370101,
1/2/2020,32.189999,41.860001,32.009998,36.470001,36.435051,15085600,-0.308198538,
1/3/2020,36.630001,38.939999,21.139999,25.23,25.205822,15122200,0.193816924,
1/4/2020,24.59,31.35,23.58,30.120001,30.091137,4948600,0.12084983,
1/5/2020,29.540001,34.549999,28.360001,33.759998,33.727646,5078100,0.0693128,
1/6/2020,33.869999,36.400002,32.970001,36.099998,36.065403,8159000,0.246814418,
1/7/2020,36.18,46.93,36.119999,45.009998,44.966866,13115000,0.261719696,
1/8/2020,45.119999,57.73,44.709999,56.790001,56.735577,15198600,0.140869869,
1/9/2020,56.970001,65.760002,47.98,64.790001,64.727913,19429800,0.06142917,
1/10/2020,66.019997,78.360001,65.099998,68.769997,68.704094,46974900,0.22989684,
1/11/2020,69.790001,88.349998,64.480003,84.580002,84.498947,41105900,0.214944426,
1/12/2020,85.699997,107.449997,79.209999,102.760002,102.661522,37454200,0.057707278,
1/1/2021,105.739998,125.980003,103,108.690002,108.690002,61169700,-0.067807543,
1/2/2021,110.18,125.050003,91.510002,101.32,101.32,44963300,-0.094255853,
1/3/2021,104.910004,107.25,80.800003,91.769997,91.769997,55632800,-0.093930427,
